id,pregunta,tipo,opcionA,opcionB,opcionC,opcionD,respuestaCorrecta,criteriosEvaluacion,puntos,activa
1,"¿Cuál es la capital de Francia?",multiple,"París","Londres","Madrid","Roma","A","",1,TRUE
2,"¿En qué año comenzó la Segunda Guerra Mundial?",multiple,"1938","1939","1940","1941","B","",1,TRUE
3,"¿Cuál es el resultado de 15 + 27?",multiple,"40","41","42","43","C","",1,TRUE
4,"¿Qué elemento químico tiene el símbolo 'O'?",multiple,"Oro","Osmio","Oxígeno","Ozono","C","",1,TRUE
5,"¿Cuántos continentes hay en el mundo?",multiple,"5","6","7","8","C","",1,TRUE
6,"Explica el proceso de fotosíntesis en las plantas",abierta,"","","","","La fotosíntesis es el proceso mediante el cual las plantas convierten la luz solar, dióxido de carbono y agua en glucosa y oxígeno. Ocurre principalmente en los cloroplastos de las hojas.","Debe mencionar: luz solar, CO2, agua, clorofila, glucosa, oxígeno. Explicar el proceso básico.",2,TRUE
7,"Describe las principales causas de la Primera Guerra Mundial",abierta,"","","","","Las principales causas incluyen el imperialismo, el nacionalismo, el sistema de alianzas, la carrera armamentística y el asesinato del archiduque Francisco Fernando.","Debe mencionar al menos 3 causas principales: imperialismo, nacionalismo, alianzas, militarismo, o evento desencadenante.",2,TRUE
8,"¿Qué es el teorema de Pitágoras y cómo se aplica?",abierta,"","","","","El teorema de Pitágoras establece que en un triángulo rectángulo, el cuadrado de la hipotenusa es igual a la suma de los cuadrados de los otros dos lados (a² + b² = c²).","Debe incluir la fórmula correcta (a² + b² = c²) y explicar que se aplica a triángulos rectángulos.",2,TRUE
9,"Explica la importancia del agua en los seres vivos",abierta,"","","","","El agua es esencial para la vida porque participa en procesos metabólicos, transporte de nutrientes, regulación de temperatura, y es el medio donde ocurren las reacciones químicas celulares.","Debe mencionar al menos 3 funciones: transporte, metabolismo, regulación térmica, medio de reacciones.",2,TRUE
10,"¿Cuál es la diferencia entre democracia y dictadura?",abierta,"","","","","La democracia es un sistema donde el poder reside en el pueblo y se ejerce a través de representantes elegidos, mientras que la dictadura es un régimen donde una persona o grupo ejerce el poder de forma absoluta sin control popular.","Debe contrastar ambos sistemas mencionando: participación popular, elecciones, separación de poderes, derechos.",2,TRUE
11,"¿Cuál es el planeta más grande del sistema solar?",multiple,"Tierra","Júpiter","Saturno","Neptuno","B","",1,TRUE
12,"¿Qué significa 'www' en una dirección web?",multiple,"World Wide Web","World Web Wide","Wide World Web","Web World Wide","A","",1,TRUE
13,"¿En qué país se encuentra la Torre Eiffel?",multiple,"Italia","España","Francia","Alemania","C","",1,TRUE
14,"¿Cuál es la moneda oficial de Japón?",multiple,"Yuan","Won","Yen","Dong","C","",1,TRUE
15,"¿Qué gas respiramos principalmente del aire?",multiple,"Oxígeno","Nitrógeno","Dióxido de carbono","Hidrógeno","B","",1,TRUE
16,"Describe el ciclo del agua en la naturaleza",abierta,"","","","","El ciclo del agua incluye evaporación de océanos y ríos, formación de nubes por condensación, precipitación como lluvia o nieve, y retorno al mar por escorrentía y infiltración.","Debe mencionar: evaporación, condensación, precipitación, escorrentía. Explicar el ciclo completo.",2,TRUE
17,"¿Qué son los derechos humanos y por qué son importantes?",abierta,"","","","","Los derechos humanos son derechos inherentes a todos los seres humanos, sin distinción. Son importantes porque garantizan la dignidad, libertad, igualdad y justicia para todas las personas.","Debe explicar que son universales, inalienables y mencionar su importancia para la dignidad humana.",2,TRUE
18,"Explica qué es la biodiversidad y su importancia",abierta,"","","","","La biodiversidad es la variedad de vida en la Tierra, incluyendo especies, ecosistemas y genes. Es importante para el equilibrio ecológico, recursos naturales, medicina y estabilidad climática.","Debe definir biodiversidad y mencionar al menos 2 razones de su importancia: equilibrio ecológico, recursos, estabilidad.",2,TRUE
19,"¿Cómo funciona el sistema digestivo humano?",abierta,"","","","","El sistema digestivo procesa los alimentos mediante digestión mecánica y química, absorbe nutrientes en el intestino delgado, y elimina desechos. Incluye boca, estómago, intestinos, hígado y páncreas.","Debe mencionar: digestión, absorción, eliminación y al menos 3 órganos del sistema digestivo.",2,TRUE
20,"Describe las características del Renacimiento",abierta,"","","","","El Renacimiento fue un período de renovación cultural en Europa (siglos XV-XVI) caracterizado por el humanismo, arte realista, avances científicos, y redescubrimiento de la cultura clásica.","Debe mencionar período histórico y al menos 3 características: humanismo, arte, ciencia, cultura clásica.",2,TRUE